origin,destination,distance_km,duration_mins,,League
Mold Alexandra,Brymbo,16.82,30.37,10.45146022,North East
Rhostyllen,Brymbo,5.48,7.6,3.40511308,North East
Rhydymwyn,Brymbo,21,37.55,13.048791,North East
Saltney Town,Brymbo,20.79,39.53,12.91830309,North East
Cefn Albion,Llanuwchllyn,52.57,56.48,32.66547347,North East
Chirk AAA,Llanuwchllyn,53.42,53.08,33.19363882,North East
Four Crosses,Llanuwchllyn,57.18,59.63,35.52999378,North East
Machynlleth,Llanuwchllyn,41.6,37.4,25.8490336,North East
Montgomery Town,Llanuwchllyn,74.47,79.63,46.27349837,North East
Penycae,Llanuwchllyn,60.18,60.75,37.39410678,North East
Rhos Aelwyd,Llanuwchllyn,61.64,60.53,38.30130844,North East
Welshpool Town,Llanuwchllyn,60.4,63.45,37.5308084,North East
Brickfield Rangers,Llanuwchllyn,56.1,58.73,34.8589131,North East
Brymbo,Llanuwchllyn,54,54.62,33.554034,North East
Llanuwchllyn,Llanuwchllyn,NA,NA,NA,North East
Llay Welfare,Llanuwchllyn,58.66,62.03,36.44962286,North East
Mold Alexandra,Llanuwchllyn,60.86,62.65,37.81663906,North East
Rhostyllen,Llanuwchllyn,62.56,57.37,38.87296976,North East
Rhydymwyn,Llanuwchllyn,61.56,62.85,38.25159876,North East
Saltney Town,Llanuwchllyn,67.42,75.93,41.89283282,North East
Cefn Albion,Llay Welfare,17.95,21.58,11.15360945,North East
Chirk AAA,Llay Welfare,22.03,23.7,13.68880313,North East
Four Crosses,Llay Welfare,62.19,90.02,38.64306249,North East
Machynlleth,Llay Welfare,100.24,99.37,62.28622904,North East
Montgomery Town,Llay Welfare,87.92,113.35,54.63093832,North East
Penycae,Llay Welfare,14.6,24.7,9.0720166,North East
Rhos Aelwyd,Llay Welfare,12.83,19.22,7.97218993,North East
Welshpool Town,Llay Welfare,73.98,98.87,45.96902658,North East
Brickfield Rangers,Llay Welfare,9.3,14.7,5.7787503,North East
Brymbo,Llay Welfare,7.77,16.8,4.82805267,North East
Llanuwchllyn,Llay Welfare,58.64,61.97,36.43719544,North East
Llay Welfare,Llay Welfare,NA,NA,NA,North East
Mold Alexandra,Llay Welfare,15.82,22.28,9.83008922,North East
Rhostyllen,Llay Welfare,11.19,15.57,6.95314149,North East
Rhydymwyn,Llay Welfare,20,29.47,12.42742,North East
Saltney Town,Llay Welfare,16.75,29.5,10.40796425,North East
Cefn Albion,Mold Alexandra,36.07,37.62,22.41285197,North East
Chirk AAA,Mold Alexandra,40.15,39.73,24.94804565,North East
Four Crosses,Mold Alexandra,92.06,102.85,57.20341426,North East
Machynlleth,Mold Alexandra,102.38,99.98,63.61596298,North East
Montgomery Town,Mold Alexandra,109.34,122.85,67.94070514,North East
Penycae,Mold Alexandra,32.72,40.73,20.33125912,North East
Rhos Aelwyd,Mold Alexandra,30.95,35.25,19.23143245,North East
Welshpool Town,Mold Alexandra,95.28,106.67,59.20422888,North East
Brickfield Rangers,Mold Alexandra,27.42,30.73,17.03799282,North East
Brymbo,Mold Alexandra,16.79,31.02,10.43281909,North East
Llanuwchllyn,Mold Alexandra,60.78,62.58,37.76692938,North East
Llay Welfare,Mold Alexandra,15.75,22.22,9.78659325,North East
Mold Alexandra,Mold Alexandra,NA,NA,NA,North East
Rhostyllen,Mold Alexandra,29.31,31.6,18.21238401,North East
Rhydymwyn,Mold Alexandra,5.14,9.7,3.19384694,North East
Saltney Town,Mold Alexandra,17.39,24.63,10.80564169,North East
Cefn Albion,Rhostyllen,8.36,9.6,5.19466156,North East
Chirk AAA,Rhostyllen,12.45,11.72,7.73606895,North East
Four Crosses,Rhostyllen,52.6,78.03,32.6841146,North East
Machynlleth,Rhostyllen,103.9,94.45,64.5604469,North East
Montgomery Town,Rhostyllen,78.33,101.37,48.67199043,North East
Penycae,Rhostyllen,5,12,3.106855,North East
Rhos Aelwyd,Rhostyllen,3.07,6.5,1.90760897,North East
Welshpool Town,Rhostyllen,64.39,86.88,40.01007869,North East
Brickfield Rangers,Rhostyllen,2.13,4.28,1.32352023,North East
Brymbo,Rhostyllen,5.69,8.28,3.53560099,North East
Llanuwchllyn,Rhostyllen,62.31,57.05,38.71762701,North East
Llay Welfare,Rhostyllen,11.4,16.02,7.0836294,North East
Mold Alexandra,Rhostyllen,21.78,33.63,13.53346038,North East
Rhostyllen,Rhostyllen,NA,NA,NA,North East
Rhydymwyn,Rhostyllen,25.97,40.82,16.13700487,North East
Saltney Town,Rhostyllen,24.03,34.42,14.93154513,North East
Cefn Albion,Rhydymwyn,40.26,44.83,25.01639646,North East
Chirk AAA,Rhydymwyn,44.34,46.95,27.55159014,North East
Four Crosses,Rhydymwyn,92.84,103.12,57.68808364,North East
Machynlleth,Rhydymwyn,103.16,100.25,64.10063236,North East
Montgomery Town,Rhydymwyn,110.12,123.12,68.42537452,North East
Penycae,Rhydymwyn,36.91,47.95,22.93480361,North East
Rhos Aelwyd,Rhydymwyn,35.14,42.47,21.83497694,North East
Welshpool Town,Rhydymwyn,96.06,106.93,59.68889826,North East
Brickfield Rangers,Rhydymwyn,31.61,37.95,19.64153731,North East
Brymbo,Rhydymwyn,20.98,38.23,13.03636358,North East
Llanuwchllyn,Rhydymwyn,61.56,62.85,38.25159876,North East
Llay Welfare,Rhydymwyn,19.94,29.43,12.39013774,North East
Mold Alexandra,Rhydymwyn,5.14,9.7,3.19384694,North East
Rhostyllen,Rhydymwyn,33.5,38.82,20.8159285,North East
Rhydymwyn,Rhydymwyn,NA,NA,NA,North East
Saltney Town,Rhydymwyn,20.74,30.73,12.88723454,North East
Cefn Albion,Saltney Town,30.56,39.1,18.98909776,North East
Chirk AAA,Saltney Town,34.64,41.22,21.52429144,North East
Four Crosses,Saltney Town,74.8,107.53,46.4785508,North East
Machynlleth,Saltney Town,110.02,113.1,68.36323742,North East
Montgomery Town,Saltney Town,116.99,135.97,72.69419329,North East
Penycae,Saltney Town,27.21,42.22,16.90750491,North East
Rhos Aelwyd,Saltney Town,25.44,36.73,15.80767824,North East
Welshpool Town,Saltney Town,102.93,119.78,63.95771703,North East
Brickfield Rangers,Saltney Town,21.91,32.22,13.61423861,North East
Brymbo,Saltney Town,21.86,39.5,13.58317006,North East
Llanuwchllyn,Saltney Town,68.42,75.7,42.51420382,North East
Llay Welfare,Saltney Town,17.82,29.15,11.07283122,North East
Mold Alexandra,Saltney Town,17.68,23.85,10.98583928,North East
Rhostyllen,Saltney Town,23.8,33.08,14.7886298,North East
Rhydymwyn,Saltney Town,21.08,30.25,13.09850068,North East
Saltney Town,Saltney Town,NA,NA,NA,North East
