origin,destination,distance_km,duration_mins,,League
Mold Alexandra,Dyffryn Nantlle Vale,105.98,89.03,65.85289858,North West
Rhostyllen,Dyffryn Nantlle Vale,132.23,107.4,82.16388733,North West
Rhydymwyn,Dyffryn Nantlle Vale,103.09,88.93,64.05713639,North West
Saltney Town,Dyffryn Nantlle Vale,115.87,95.2,71.99825777,North West
St Asaph City,Dyffryn Nantlle Vale,76.45,67.7,47.50381295,North West
Y Felinheli,Dyffryn Nantlle Vale,21.42,31.78,13.30976682,North West
Blaenau Amateurs,Llandudno Albion,50.19,65.22,31.18661049,North West
Brickfield Rangers,Llandudno Albion,86.29,70.73,53.61810359,North West
Brymbo,Llandudno Albion,78.66,72.57,48.87704286,North West
CPD Porthmadog,Llandudno Albion,65.78,78.08,40.87378438,North West
Denbigh Town,Llandudno Albion,41.29,49.92,25.65640859,North West
Dyffryn Nantlle Vale,Llandudno Albion,57.38,60.45,35.65426798,North West
Llandudno Albion,Llandudno Albion,NA,NA,NA,North West
Llanrwst United,Llandudno Albion,24.53,34.1,15.24223063,North West
Llanuwchllyn,Llandudno Albion,84.29,80.82,52.37536159,North West
Llay Welfare,Llandudno Albion,74.61,62.22,46.36049031,North West
Mold Alexandra,Llandudno Albion,61.92,53.23,38.47529232,North West
Rhostyllen,Llandudno Albion,88.18,71.6,54.79249478,North West
Rhydymwyn,Llandudno Albion,59.04,53.13,36.68574384,North West
Saltney Town,Llandudno Albion,71.82,59.4,44.62686522,North West
St Asaph City,Llandudno Albion,32.39,31.9,20.12620669,North West
Y Felinheli,Llandudno Albion,38.73,33.6,24.06569883,North West
Blaenau Amateurs,Llanrwst United,26.15,33.1,16.24885165,North West
Brickfield Rangers,Llanrwst United,69.92,68.55,43.44626032,North West
Brymbo,Llanrwst United,67.82,64.43,42.14138122,North West
CPD Porthmadog,Llanrwst United,41.73,45.97,25.92981183,North West
Denbigh Town,Llanrwst United,43.79,50.52,27.20983609,North West
Dyffryn Nantlle Vale,Llanrwst United,63.01,68.23,39.15258671,North West
Llandudno Albion,Llanrwst United,24.54,34.03,15.24844434,North West
Llanrwst United,Llanrwst United,NA,NA,NA,North West
Llanuwchllyn,Llanrwst United,60.24,48.7,37.43138904,North West
Llay Welfare,Llanrwst United,72.47,71.85,45.03075637,North West
Mold Alexandra,Llanrwst United,73.56,63.8,45.70805076,North West
Rhostyllen,Llanrwst United,76.38,67.18,47.46031698,North West
Rhydymwyn,Llanrwst United,70.68,63.7,43.91850228,North West
Saltney Town,Llanrwst United,83.46,69.97,51.85962366,North West
St Asaph City,Llanrwst United,44.03,42.47,27.35896513,North West
Y Felinheli,Llanrwst United,50.83,45.67,31.58428793,North West
Blaenau Amateurs,Llanuwchllyn,51.61,40.3,32.06895731,North West
Brickfield Rangers,Llanuwchllyn,56.1,58.73,34.8589131,North West
Brymbo,Llanuwchllyn,54,54.62,33.554034,North West
CPD Porthmadog,Llanuwchllyn,55.55,47.88,34.51715905,North West
Denbigh Town,Llanuwchllyn,55.79,61.08,34.66628809,North West
Dyffryn Nantlle Vale,Llanuwchllyn,76.82,70.15,47.73372022,North West
Llandudno Albion,Llanuwchllyn,84.3,80.75,52.3815753,North West
Llanrwst United,Llanuwchllyn,60.24,48.7,37.43138904,North West
Llanuwchllyn,Llanuwchllyn,NA,NA,NA,North West
Llay Welfare,Llanuwchllyn,58.66,62.03,36.44962286,North West
Mold Alexandra,Llanuwchllyn,60.86,62.65,37.81663906,North West
Rhostyllen,Llanuwchllyn,62.56,57.37,38.87296976,North West
Rhydymwyn,Llanuwchllyn,61.56,62.85,38.25159876,North West
Saltney Town,Llanuwchllyn,67.42,75.93,41.89283282,North West
St Asaph City,Llanuwchllyn,64.56,73.5,40.11571176,North West
Y Felinheli,Llanuwchllyn,91.44,83.45,56.81816424,North West
Blaenau Amateurs,Llay Welfare,91.94,84.68,57.12884974,North West
Brickfield Rangers,Llay Welfare,9.3,14.7,5.7787503,North West
Brymbo,Llay Welfare,7.77,16.8,4.82805267,North West
CPD Porthmadog,Llay Welfare,95.88,92.27,59.57705148,North West
Denbigh Town,Llay Welfare,45.49,50.85,28.26616679,North West
Dyffryn Nantlle Vale,Llay Welfare,120.02,99.2,74.57694742,North West
Llandudno Albion,Llay Welfare,75.09,61.38,46.65874839,North West
Llanrwst United,Llay Welfare,72.44,71.52,45.01211524,North West
Llanuwchllyn,Llay Welfare,58.64,61.97,36.43719544,North West
Llay Welfare,Llay Welfare,NA,NA,NA,North West
Mold Alexandra,Llay Welfare,15.82,22.28,9.83008922,North West
Rhostyllen,Llay Welfare,11.19,15.57,6.95314149,North West
Rhydymwyn,Llay Welfare,20,29.47,12.42742,North West
Saltney Town,Llay Welfare,16.75,29.5,10.40796425,North West
St Asaph City,Llay Welfare,45.01,39.55,27.96790871,North West
Y Felinheli,Llay Welfare,101.37,72.35,62.98837827,North West
Blaenau Amateurs,Mold Alexandra,94.09,85.3,58.46479739,North West
Brickfield Rangers,Mold Alexandra,27.42,30.73,17.03799282,North West
Brymbo,Mold Alexandra,16.79,31.02,10.43281909,North West
CPD Porthmadog,Mold Alexandra,98.03,92.88,60.91299913,North West
Denbigh Town,Mold Alexandra,23.94,32.65,14.87562174,North West
Dyffryn Nantlle Vale,Mold Alexandra,106.73,90.47,66.31892683,North West
Llandudno Albion,Mold Alexandra,61.8,52.65,38.4007278,North West
Llanrwst United,Mold Alexandra,73.88,64.78,45.90688948,North West
Llanuwchllyn,Mold Alexandra,60.78,62.58,37.76692938,North West
Llay Welfare,Mold Alexandra,15.75,22.22,9.78659325,North West
Mold Alexandra,Mold Alexandra,NA,NA,NA,North West
Rhostyllen,Mold Alexandra,29.31,31.6,18.21238401,North West
Rhydymwyn,Mold Alexandra,5.14,9.7,3.19384694,North West
Saltney Town,Mold Alexandra,17.39,24.63,10.80564169,North West
St Asaph City,Mold Alexandra,31.72,30.82,19.70988812,North West
Y Felinheli,Mold Alexandra,88.08,63.62,54.73035768,North West
Blaenau Amateurs,Rhostyllen,95.61,79.77,59.40928131,North West
Brickfield Rangers,Rhostyllen,2.13,4.28,1.32352023,North West
Brymbo,Rhostyllen,5.69,8.28,3.53560099,North West
CPD Porthmadog,Rhostyllen,99.55,87.35,61.85748305,North West
Denbigh Town,Rhostyllen,41.85,61.65,26.00437635,North West
Dyffryn Nantlle Vale,Rhostyllen,120.83,109.62,75.08025793,North West
Llandudno Albion,Rhostyllen,88.89,72.05,55.23366819,North West
Llanrwst United,Rhostyllen,76.11,66.6,47.29254681,North West
Llanuwchllyn,Rhostyllen,62.31,57.05,38.71762701,North West
Llay Welfare,Rhostyllen,11.4,16.02,7.0836294,North West
Mold Alexandra,Rhostyllen,21.78,33.63,13.53346038,North West
Rhostyllen,Rhostyllen,NA,NA,NA,North West
Rhydymwyn,Rhostyllen,25.97,40.82,16.13700487,North West
Saltney Town,Rhostyllen,24.03,34.42,14.93154513,North West
St Asaph City,Rhostyllen,58.81,50.22,36.54282851,North West
Y Felinheli,Rhostyllen,115.17,83.02,71.56329807,North West
Blaenau Amateurs,Rhydymwyn,94.87,85.57,58.94946677,North West
Brickfield Rangers,Rhydymwyn,31.61,37.95,19.64153731,North West
Brymbo,Rhydymwyn,20.98,38.23,13.03636358,North West
CPD Porthmadog,Rhydymwyn,98.81,93.15,61.39766851,North West
Denbigh Town,Rhydymwyn,19.22,24.57,11.94275062,North West
Dyffryn Nantlle Vale,Rhydymwyn,103.02,91.6,64.01364042,North West
Llandudno Albion,Rhydymwyn,58.09,53.78,36.09544139,North West
Llanrwst United,Rhydymwyn,70.18,65.92,43.60781678,North West
Llanuwchllyn,Rhydymwyn,61.56,62.85,38.25159876,North West
Llay Welfare,Rhydymwyn,19.94,29.43,12.39013774,North West
Mold Alexandra,Rhydymwyn,5.14,9.7,3.19384694,North West
Rhostyllen,Rhydymwyn,33.5,38.82,20.8159285,North West
Rhydymwyn,Rhydymwyn,NA,NA,NA,North West
Saltney Town,Rhydymwyn,20.74,30.73,12.88723454,North West
St Asaph City,Rhydymwyn,28.01,31.95,17.40460171,North West
Y Felinheli,Rhydymwyn,84.37,64.75,52.42507127,North West
Blaenau Amateurs,Saltney Town,101.73,98.42,63.21207183,North West
Brickfield Rangers,Saltney Town,21.91,32.22,13.61423861,North West
Brymbo,Saltney Town,21.86,39.5,13.58317006,North West
CPD Porthmadog,Saltney Town,105.67,106,65.66027357,North West
Denbigh Town,Saltney Town,42.37,47.03,26.32748927,North West
Dyffryn Nantlle Vale,Saltney Town,116.9,95.38,72.6382699,North West
Llandudno Albion,Saltney Town,71.97,57.57,44.72007087,North West
Llanrwst United,Saltney Town,84.06,69.7,52.23244626,North West
Llanuwchllyn,Saltney Town,68.42,75.7,42.51420382,North West
Llay Welfare,Saltney Town,17.82,29.15,11.07283122,North West
Mold Alexandra,Saltney Town,17.68,23.85,10.98583928,North West
Rhostyllen,Saltney Town,23.8,33.08,14.7886298,North West
Rhydymwyn,Saltney Town,21.08,30.25,13.09850068,North West
Saltney Town,Saltney Town,NA,NA,NA,North West
St Asaph City,Saltney Town,41.89,35.73,26.02923119,North West
Y Felinheli,Saltney Town,98.25,68.53,61.04970075,North West
Blaenau Amateurs,St Asaph City,70,75.03,43.49597,North West
Brickfield Rangers,St Asaph City,54.87,46.82,34.09462677,North West
Brymbo,St Asaph City,47.24,48.65,29.35356604,North West
CPD Porthmadog,St Asaph City,85.59,87.9,53.18314389,North West
Denbigh Town,St Asaph City,9.71,21.37,6.03351241,North West
Dyffryn Nantlle Vale,St Asaph City,77.18,69.6,47.95741378,North West
Llandudno Albion,St Asaph City,32.25,31.78,20.03921475,North West
Llanrwst United,St Asaph City,44.34,43.92,27.55159014,North West
Llanuwchllyn,St Asaph City,64.67,73.97,40.18406257,North West
Llay Welfare,St Asaph City,43.2,38.3,26.8432272,North West
Mold Alexandra,St Asaph City,30.51,29.32,18.95802921,North West
Rhostyllen,St Asaph City,56.76,47.68,35.26901796,North West
Rhydymwyn,St Asaph City,27.63,29.22,17.16848073,North West
Saltney Town,St Asaph City,40.41,35.48,25.10960211,North West
St Asaph City,St Asaph City,NA,NA,NA,North West
Y Felinheli,St Asaph City,58.53,42.75,36.36884463,North West
Blaenau Amateurs,Y Felinheli,57.9,66.08,35.9773809,North West
Brickfield Rangers,Y Felinheli,111.86,80.1,69.50656006,North West
Brymbo,Y Felinheli,104.24,81.93,64.77171304,North West
CPD Porthmadog,Y Felinheli,41.54,48.03,25.81175134,North West
Denbigh Town,Y Felinheli,66.87,59.28,41.55107877,North West
Dyffryn Nantlle Vale,Y Felinheli,21.34,31.97,13.26005714,North West
Llandudno Albion,Y Felinheli,38.5,33.27,23.9227835,North West
Llanrwst United,Y Felinheli,50.13,43.9,31.14932823,North West
Llanuwchllyn,Y Felinheli,91.02,83.28,56.55718842,North West
